概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
秘,"状态, 政治",秘，隐秘、秘密；封藏皆秘之世不得记为秦皇封禅之制，秘之不发丧为赵高李斯沙丘之谋。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
秘书,"典籍, 文化",宫廷藏书及秘籍，汉代校书制度,典籍,建议并入政治或作为独立父概念,文书典籍是行政和学术的载体,否,建议确认「文书·典籍」是否作为新的独立父概念,中
秘书监,"官制, 文化",秘书监，古代掌管典籍图书的官职。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
秘器,"器物, 丧葬",秘器，皇家赏赐的葬具,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
租_(概念),"经济, 制度, 租",古代土地税，农民向国家缴纳的粮食收获。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
租庸,"经济, 制度, 唐",租庸调，唐代赋役制度，由田租、力庸、户调三者组成。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
租税,"经济, 制度",租税，田租赋税，国家向百姓征收之赋役。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
租调,"赋税, 制度, 经济",古代田租与户调，为赋税制度核心，历魏晋南北朝至唐演变为租庸调,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
租赋,"经济, 制度",租赋，田租税赋，古代国家财政收入之主要来源。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
秣,"军事, 经济","秣，牲口饲料，特指喂马，常与""厉兵""连用表备战。",军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
秣马,"军事, 备战, 后勤, 军需",喂养战马，常与厉兵、砺兵连用，指准备作战、整军经武。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
秦,"诸侯国, 秦朝",秦国的简称，亦指秦朝,典籍,建议并入政治或作为独立父概念,文书典籍是行政和学术的载体,否,建议确认「文书·典籍」是否作为新的独立父概念,中
秦王,"称号, 战国, 秦朝, 前秦",战国秦国君王及前秦君主的称号,官制,具体王号，归入封爵体系,具体封爵名号，无需再分解,,需审核,低
秩禄,"制度, 官制, 俸禄",官员的俸禄等级制度，通鉴载汉武帝定大将军秩禄、刘恺增吏秩禄、辛公义以秩禄具医药等。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
秬鬯,礼制,秬鬯，以黑黍酿制之香酒，古代天子赏赐诸侯功臣之礼器。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
积不相能,"成语, 东汉, 三国, 隋",长期以来互不亲善，形容双方关系一直不好,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
积年,"时间, 制度",积年，累年，古代指多年积累的时间。,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
积怨,"社会, 心理",长期积累的怨恨。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
积聚,"物资, 经济",物资积蓄，聚集储存的财物粮食。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
积贮,"文化, 经济",积贮。积贮者天下之大命为贾谊论政之要，积贮倍息为商贾富国之源。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
积骸,"战争, 灾祸, 死亡",堆积的骸骨，形容战乱死亡之惨。,军事,堆积骸骨，归入军事,军事惨烈后果,,需审核,低
称兵,"军事, 政治, 反叛, 讨伐",举兵、兴兵，多指发动军事行动，常用于讨伐叛逆或反叛朝廷的语境。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
称庆,"礼仪, 社会",称庆，称颂庆贺，古代指朝廷上下因祥瑞或喜事而庆祝。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
称疾,"政治, 礼仪",称疾，托病不出之义，古代以疾病为由回避政治或礼仪场合。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
称臣,"邦交, 礼制",臣服于对方，自居臣属之位。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
称觞,"礼仪, 宫禁",举杯敬酒，多指朝廷宴享礼仪。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
称贷,"经济, 借贷",古代官府或私人借贷，常为高利盘剥。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
称贺,"概念, 礼仪, 邦交",称贺，表示祝贺，古代群臣或藩国上表祝贺国家庆典或祥瑞的礼仪。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
移檄,"制度, 文书, 军事",移檄，传送檄文，用于征召、晓谕或声讨之文书。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
移风,"政治, 社会",移风，转移风气，古代指移风易俗之治理理念。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
移风易俗,"成语, 西汉, 南北朝, 唐",改变旧的风俗习惯；出自贾谊论俗吏、班固论文景、北魏孝文帝迁都、唐太宗论治,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
秽,"道德, 状态",秽，污秽、秽浊；污秽淫乱为大臣不廉之讳称，芜秽不治为田园荒废之象。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
稀,"状态, 品性",稀，稀少、罕见；稀复进见为贾捐之失势之况，前所稀有为王尊治绩之誉。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
程式,制度,程式，格式法式，古代官府文书与行政操作之标准规范。,典籍,建议并入政治或作为独立父概念,文书典籍是行政和学术的载体,否,建议确认「文书·典籍」是否作为新的独立父概念,中
稷,"文化, 礼制",谷神。社稷为江山社稷之代称，微社稷神灵为赵武灵王变服之由。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
稷_(概念),"食物, 稷",稷（粟的一种），古代五谷之一,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
稻,"文化, 经济, 生活",稻谷。稻田为皖地肥美之田，稻田使者为燕仓告发上官桀之职，稻粱米为太后减膳之俭。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
稻_(概念),"食物, 稻",稻（水稻），古代南方主粮,度量,度量·数量·基础,,,待定,中
稽古,"学术, 礼制",考察古事，以古为鉴。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
稽颡,"礼仪, 跪拜, 服罪, 臣服",叩头至地的跪拜礼，古代表示极度恭敬或服罪的礼仪。通鉴中稽颡常用于臣服或谢罪。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
稽首,"稽首, 礼制",古代最恭敬的跪拜礼，头至地多时。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
穴_(概念),"地理, 穴",洞穴、孔穴，为古人居住或避难之所。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
穷,"状态, 道德",穷，困厄、贫穷、穷尽；穷视其所不为为观人之法，智穷兵败为将帅之戒。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
穷兵黩武,"成语, 军事, 三国, 十六国",指用尽兵力，肆意发动战争；三国陆抗谏孙皓、前秦平规谏苻坚,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
穷当益坚,"成语, 东汉, 马援",处境越艰难，意志越坚定,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
穷治,"法律, 秦汉",穷治，彻底追查严办之意，指司法官员深究案情、穷尽党与的断案方式,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
穹庐,"器物, 游牧, 匈奴",穹庐，毡帐、帐篷，古代北方游牧民族居住的圆形毡制帐幕,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
空,"哲学, 军事",空，空虚、空洞、空乏；空国为兵家大忌，空言误国为从政之戒。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
空乏,"经济, 社会",空乏，资财空竭匮乏，古代社会经济困窘之状态。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
穿堑,"军事, 工程, 防御",挖掘壕沟，为古代攻城或防守时修筑工事的重要工程手段。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
穿窬,"社会, 法制",穿墙逾壁，指盗窃行为。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
突入,"军事, 战术, 作战",猛力冲入敌军或城垒之中，为古代军队突破防御的猛烈进攻方式。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
突将,"军事, 兵制, 精锐",冲锋陷阵的精锐突击部队，为唐代及五代军中选拔骁勇之士组成的特殊作战单位。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
突陈,"军事, 战斗, 冲锋",冲入敌军阵中突破敌阵，为古代猛将骁骑以个人勇力冲破敌阵的战术动作。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
窃据,政治,非法占据,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
窑,"五代, 工艺, 建筑",烧制砖瓦陶瓷的窑炉。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
窑_(概念),"器物, 工艺, 窑",窑炉,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
